Parameter,Multiplier,EOD_Time,Avg_Voltage,EOD_Change_Pct,V_Avg_Change_Pct
Cn,0.8,2472.0,3.2722935057810356,-20.0,0.07822620520834545
Cn,0.9,2781.0,3.2708725623111423,-10.0,0.03476876419531706
Cn,1.1,3399.0,3.26880550752813,10.0,-0.028449029620361534
Cn,1.2,3708.0,3.2680302923352844,20.0,-0.052157832418847756
R0_factor,0.8,3235.0,3.2941945912409887,4.692556634304207,0.7480383051708257
R0_factor,0.9,3162.0,3.282076917964251,2.3300970873786406,0.37743730464085457
R0_factor,1.1,3012.0,3.257780147475129,-2.524271844660194,-0.36564325606392334
R0_factor,1.2,2923.0,3.2466393176466934,-5.4045307443365695,-0.7063689537173118
R1,0.8,3137.0,3.277392783906836,1.5210355987055015,0.2341800366282857
R1,0.9,3113.0,3.273608820190017,0.7443365695792881,0.11845313861773073
R1,1.1,3066.0,3.2659495541983445,-0.7766990291262136,-0.11579411124731745
R1,1.2,3041.0,3.262249830332357,-1.5857605177993526,-0.22894465880761392
C1,0.8,3090.0,3.26961926193264,0.0,-0.0035615623970963856
C1,0.9,3090.0,3.2696774880220603,0.0,-0.001780804119226861
C1,1.1,3090.0,3.2697939442886255,0.0,0.001780837453491566
C1,1.2,3090.0,3.269852173784248,0.0,0.0035616999049924627
R2,0.8,3152.0,3.2791708522716823,2.0064724919093853,0.28855961098829314
R2,0.9,3121.0,3.274429629177125,1.0032362459546926,0.14355635974931352
R2,1.1,3058.0,3.2651791308311338,-1.035598705501618,-0.13935636319118638
R2,1.2,3024.0,3.260848930865767,-2.1359223300970873,-0.27178908381425193
C2,0.8,3090.0,3.269114561902595,0.0,-0.018997061591583
C2,0.9,3090.0,3.2694251385068522,0.0,-0.009498538430390328
C2,1.1,3090.0,3.2700462930768097,0.0,0.009498549529715032
C2,1.2,3090.0,3.270356870814242,0.0,0.018997107347388534
tau_d,0.8,3245.0,3.2936623386417985,5.016181229773463,0.7317601516598515
tau_d,0.9,3167.0,3.2817292193243244,2.4919093851132685,0.3668034592732773
tau_d,1.1,3007.0,3.2583060951004867,-2.686084142394822,-0.3495579307929277
tau_d,1.2,2910.0,3.2481627077243433,-5.825242718446602,-0.6597783356934472
kd,0.8,3245.0,3.294648157084679,5.016181229773463,0.7619099413867123
kd,0.9,3167.0,3.2822973958814146,2.4919093851132685,0.38418029356534544
kd,1.1,3007.0,3.257574717662681,-2.686084142394822,-0.37192602110414746
kd,1.2,2910.0,3.2465138012780637,-5.825242718446602,-0.7102076850261007
