Age_Months,Runtime_Minutes
0.0,482.4
0.5,481.9166666666667
1.0,481.45
1.5,480.96666666666664
2.0,480.5
2.5,480.01666666666665
3.0,479.55
3.5,479.06666666666666
4.0,478.6
4.5,478.1333333333333
5.0,477.6666666666667
5.5,477.2
6.0,476.73333333333335
6.5,476.26666666666665
7.0,475.8
7.5,475.3333333333333
8.0,474.8666666666667
8.5,474.4
9.0,473.95
9.5,473.48333333333335
10.0,473.01666666666665
10.5,472.55
11.0,472.1
11.5,471.6333333333333
12.0,468.5833333333333
12.5,465.3333333333333
13.0,462.1
13.5,458.8666666666667
14.0,455.6333333333333
14.5,452.4166666666667
15.0,449.2
15.5,446.0
16.0,442.8
16.5,439.6166666666667
17.0,436.43333333333334
17.5,433.26666666666665
18.0,430.1
18.5,426.95
19.0,423.8
19.5,420.65
20.0,417.51666666666665
20.5,414.4
21.0,411.28333333333336
21.5,408.1666666666667
22.0,405.06666666666666
22.5,401.96666666666664
23.0,398.8833333333333
23.5,395.8
24.0,392.73333333333335
24.5,389.6666666666667
25.0,386.6166666666667
25.5,383.56666666666666
26.0,380.53333333333336
26.5,377.5
27.0,374.46666666666664
27.5,371.45
28.0,368.45
28.5,366.6166666666667
29.0,366.2
29.5,365.8
30.0,365.3833333333333
30.5,364.96666666666664
31.0,364.55
31.5,364.1333333333333
32.0,363.73333333333335
32.5,363.31666666666666
33.0,362.9166666666667
33.5,362.5
34.0,362.1
34.5,361.7
35.0,361.28333333333336
35.5,360.8833333333333
36.0,360.48333333333335
36.5,360.0833333333333
37.0,359.68333333333334
37.5,359.28333333333336
38.0,358.8833333333333
38.5,358.48333333333335
39.0,358.1
39.5,357.7
40.0,357.3
40.5,356.9166666666667
41.0,356.51666666666665
41.5,356.1333333333333
42.0,355.73333333333335
42.5,355.35
43.0,354.96666666666664
43.5,354.56666666666666
44.0,354.18333333333334
44.5,353.8
45.0,353.4166666666667
45.5,353.03333333333336
46.0,352.65
46.5,352.26666666666665
47.0,351.8833333333333
47.5,351.51666666666665
48.0,351.1333333333333
48.5,350.75
49.0,350.3833333333333
49.5,350.0
50.0,349.6166666666667
50.5,349.25
51.0,348.8833333333333
51.5,348.5
52.0,348.1333333333333
52.5,347.71666666666664
53.0,347.18333333333334
53.5,346.65
54.0,346.1
54.5,345.56666666666666
55.0,345.03333333333336
55.5,344.5
56.0,343.96666666666664
56.5,343.43333333333334
57.0,342.9166666666667
57.5,342.3833333333333
58.0,341.85
58.5,341.3333333333333
59.0,340.81666666666666
59.5,340.28333333333336
60.0,339.76666666666665
