Seed,P_value,Time_Minutes
378313550,1.8734066574404546,228.8
378314547,2.0154895193198077,395.95
378315544,2.423391385269875,501.45
378316541,2.030257830811847,312.85
378317538,1.849894177022847,307.1
378318535,2.257048683800276,374.1666666666667
378319532,2.3166354402918845,338.01666666666665
378320529,2.0814511826427173,374.85
378321526,2.0144544407964866,390.8666666666667
378322523,2.5237413966437243,431.01666666666665
378323520,1.6954665468232122,296.6666666666667
378324517,2.265791672811287,339.03333333333336
378325514,1.2777038470844424,275.51666666666665
378326511,1.7502860709455943,320.4166666666667
378327508,1.6576853841240347,287.0
378328505,1.9749678745823696,324.23333333333335
378329502,2.4332532671090665,409.3666666666667
378330499,2.2514579916165482,365.78333333333336
378331496,2.1106537232735314,271.25
378332493,1.7056342271768605,276.56666666666666
378293610,2.203145726738677,351.78333333333336
378294607,2.0441945846718674,363.15
378295604,2.4763919213973797,366.3833333333333
378296601,1.7085038399013397,297.3
378297598,2.1921393178428827,346.43333333333334
378298595,2.3760830035297893,311.6166666666667
378299592,2.297741577193632,450.15
378300589,2.205354297248486,313.75
378301586,1.8659195631150802,292.96666666666664
378302583,2.489056647940075,284.78333333333336
378303580,2.031719200556826,335.21666666666664
378304577,2.167632012852492,394.2
378305574,1.8758360573296458,331.4
378306571,2.0594544277157194,411.78333333333336
378307568,2.106116246675953,394.8333333333333
378308565,1.7729437916798985,367.3666666666667
378309562,1.7071669945024464,330.43333333333334
378310559,2.3435803833037125,346.96666666666664
378311556,2.2269482741762,340.8833333333333
378312553,1.9185265984225544,397.25
378413250,2.379838056680162,411.65
378414247,2.283388186384895,384.85
378415244,1.8303579952267302,349.15
378416241,1.8406262545162588,373.6333333333333
378417238,1.5457389490759517,287.6666666666667
378418235,1.6213300318358683,282.68333333333334
378419232,2.7314691098810204,523.8833333333333
378420229,2.0208173494961894,325.8333333333333
378421226,2.1488087315320112,250.41666666666666
378422223,2.265221238938053,376.65
378423220,2.2179074261525717,362.21666666666664
378424217,2.3354871230867933,363.68333333333334
378425214,1.4570957095709571,302.98333333333335
378426211,2.1849333820040155,365.25
378427208,2.1346320168032618,404.6666666666667
378428205,1.9493859322664682,268.68333333333334
378429202,2.12026825633383,335.48333333333335
378430199,2.501634229683554,448.71666666666664
378431196,2.1719574036511156,328.65
378432193,2.28050153531218,325.65
378373370,2.0080038937861664,308.1666666666667
378374367,2.4806396709453233,470.01666666666665
378375364,2.40629042690815,412.25
378376361,1.5642609699769052,288.65
378377358,1.774191921738692,330.5
378378355,1.7690798692199907,356.81666666666666
378379352,2.353846925468954,332.28333333333336
378380349,2.472386296515062,451.45
378381346,1.813871473354232,297.71666666666664
378382343,1.5827718401486988,286.9166666666667
378383340,2.0792533098617376,454.43333333333334
378384337,1.9037371872413573,261.76666666666665
378385334,2.0997435670704743,376.95
378386331,1.853867142407388,317.6166666666667
378387328,2.4516221101702977,350.35
378388325,1.7315541601255888,265.4
378389322,2.1617974958550112,291.5
378390319,2.273037100949094,386.31666666666666
378391316,1.859749428258924,335.21666666666664
378392313,2.3079342757752945,450.35
378333490,1.9330335853941003,244.63333333333333
378334487,2.4895871126913867,459.35
378335484,1.938909090909091,320.81666666666666
378336481,2.4174992275208567,323.6166666666667
378337478,2.1977537524929147,317.55
378338475,2.5723005377125423,458.71666666666664
378339472,2.3738371260913125,349.3333333333333
378340469,2.5918234467633043,486.3333333333333
378341466,2.3348208060242643,358.53333333333336
378342463,1.8803952158086323,256.3833333333333
378343460,1.9437139819839984,297.8666666666667
378344457,2.0814664715373934,444.1333333333333
378345454,2.2888847789901976,360.45
378346451,2.484259858785805,540.5333333333333
378347448,2.219022766129758,370.4166666666667
378348445,2.018893798567728,328.1333333333333
378349442,2.0613853771090707,346.7
378350439,2.565619150037838,418.43333333333334
378351436,1.6738860287590982,281.6333333333333
378352433,1.9309768845304163,309.3
378273670,1.9698102357676828,289.81666666666666
378274667,2.2364346128822383,256.15
378275664,2.5467712228609702,597.2166666666667
378276661,1.8928765633496465,275.8333333333333
378277658,2.4888169925446615,592.4
378278655,2.3110737534873738,465.95
378279652,2.277466013278533,421.71666666666664
